Forest,Permit number,Issue date,Number of trees,Permit cost,Expiration date
Flathead,460,11/21/2018,1,5,1/2/2019
Mt. Hood,461,11/21/2018,1,5,12/31/2018
Mt. Hood,462,11/21/2018,1,5,12/31/2018
Arapaho and Roosevelt,463,11/21/2018,1,20,1/6/2019
Arapaho and Roosevelt,466,11/21/2018,1,20,1/6/2019
Arapaho and Roosevelt,464,11/21/2018,1,20,1/6/2019
Arapaho and Roosevelt,465,11/21/2018,1,20,1/6/2019
Arapaho and Roosevelt,467,11/21/2018,1,20,1/6/2019
Mt. Hood,468,11/21/2018,2,10,12/31/2018
Arapaho and Roosevelt,469,11/21/2018,1,20,1/6/2019
Arapaho and Roosevelt,470,11/21/2018,1,20,1/6/2019
Mt. Hood,471,11/21/2018,2,10,12/31/2018
Mt. Hood,472,11/21/2018,2,10,12/31/2018
Mt. Hood,473,11/21/2018,1,5,12/31/2018
Flathead,474,11/21/2018,1,5,1/2/2019
Mt. Hood,475,11/21/2018,2,10,12/31/2018
Mt. Hood,476,11/21/2018,1,5,12/31/2018
Flathead,477,11/22/2018,1,5,1/2/2019
Mt. Hood,478,11/22/2018,2,10,12/31/2018
Flathead,479,11/22/2018,2,10,1/2/2019
Shoshone,480,11/22/2018,1,8,12/31/2018
Arapaho and Roosevelt,481,11/22/2018,2,40,1/6/2019
Mt. Hood,482,11/22/2018,1,5,12/31/2018
Arapaho and Roosevelt,484,11/22/2018,1,20,1/6/2019
Mt. Hood,487,11/22/2018,1,5,12/31/2018
Arapaho and Roosevelt,486,11/22/2018,1,20,1/6/2019
Mt. Hood,488,11/22/2018,1,5,12/31/2018
Flathead,489,11/22/2018,3,15,1/2/2019
Mt. Hood,490,11/22/2018,1,5,12/31/2018
Flathead,492,11/22/2018,1,5,1/2/2019
Arapaho and Roosevelt,494,11/22/2018,1,20,1/6/2019
Flathead,493,11/22/2018,1,5,1/2/2019
Flathead,495,11/22/2018,1,5,1/2/2019
Flathead,496,11/22/2018,1,5,1/2/2019
Flathead,497,11/22/2018,1,5,1/2/2019
Mt. Hood,498,11/22/2018,1,5,12/31/2018
Flathead,499,11/22/2018,1,5,1/2/2019
Arapaho and Roosevelt,500,11/22/2018,2,40,1/6/2019
Arapaho and Roosevelt,501,11/22/2018,1,20,1/6/2019
Flathead,502,11/22/2018,1,5,1/2/2019
Mt. Hood,503,11/22/2018,1,5,12/31/2018
Flathead,504,11/22/2018,1,5,1/2/2019
Arapaho and Roosevelt,506,11/22/2018,1,20,1/6/2019
Mt. Hood,505,11/22/2018,1,5,12/31/2018
Mt. Hood,507,11/22/2018,2,10,12/31/2018
Arapaho and Roosevelt,510,11/22/2018,2,40,1/6/2019
Mt. Hood,509,11/22/2018,2,10,12/31/2018
Flathead,511,11/22/2018,1,5,1/2/2019
Mt. Hood,512,11/22/2018,2,10,12/31/2018
Mt. Hood,513,11/22/2018,1,5,12/31/2018
Mt. Hood,515,11/22/2018,1,5,12/31/2018
Flathead,514,11/22/2018,1,5,1/2/2019
Flathead,516,11/22/2018,1,5,1/2/2019
Shoshone,518,11/22/2018,1,8,12/31/2018
Mt. Hood,519,11/22/2018,3,15,12/31/2018
Arapaho and Roosevelt,520,11/22/2018,1,20,1/6/2019
Mt. Hood,521,11/22/2018,3,15,12/31/2018
Mt. Hood,523,11/22/2018,1,5,12/31/2018
Flathead,524,11/22/2018,1,5,1/2/2019
Arapaho and Roosevelt,525,11/22/2018,1,20,1/6/2019
Arapaho and Roosevelt,526,11/22/2018,1,20,1/6/2019
Arapaho and Roosevelt,527,11/22/2018,1,20,1/6/2019
Arapaho and Roosevelt,529,11/22/2018,1,20,1/6/2019
Shoshone,530,11/22/2018,1,8,12/31/2018
Mt. Hood,531,11/22/2018,1,5,12/31/2018
Flathead,532,11/22/2018,1,5,1/2/2019
Arapaho and Roosevelt,533,11/22/2018,1,20,1/6/2019
Flathead,537,11/22/2018,2,10,1/2/2019
Arapaho and Roosevelt,538,11/22/2018,2,40,1/6/2019
Arapaho and Roosevelt,539,11/22/2018,1,20,1/6/2019
Flathead,540,11/22/2018,1,5,1/2/2019
Arapaho and Roosevelt,541,11/22/2018,1,20,1/6/2019
Mt. Hood,542,11/22/2018,1,5,12/31/2018
Arapaho and Roosevelt,544,11/22/2018,3,60,1/6/2019
Mt. Hood,543,11/22/2018,1,5,12/31/2018
Arapaho and Roosevelt,546,11/22/2018,1,20,1/6/2019
Flathead,548,11/22/2018,2,10,1/2/2019
Mt. Hood,550,11/22/2018,1,5,12/31/2018
Mt. Hood,551,11/22/2018,1,5,12/31/2018
Flathead,552,11/22/2018,1,5,1/2/2019
Mt. Hood,553,11/22/2018,2,10,12/31/2018
Arapaho and Roosevelt,554,11/22/2018,1,20,1/6/2019
Arapaho and Roosevelt,555,11/22/2018,1,20,1/6/2019
Shoshone,556,11/22/2018,2,16,12/31/2018
Arapaho and Roosevelt,557,11/22/2018,1,20,1/6/2019
Flathead,558,11/22/2018,1,5,1/2/2019
Arapaho and Roosevelt,559,11/22/2018,1,20,1/6/2019
Mt. Hood,560,11/22/2018,2,10,12/31/2018
Flathead,561,11/22/2018,1,5,1/2/2019
Mt. Hood,562,11/22/2018,1,5,12/31/2018
Mt. Hood,564,11/22/2018,1,5,12/31/2018
Shoshone,565,11/22/2018,2,16,12/31/2018
Mt. Hood,566,11/22/2018,1,5,12/31/2018
Flathead,567,11/22/2018,1,5,1/2/2019
Arapaho and Roosevelt,568,11/22/2018,2,40,1/6/2019
Arapaho and Roosevelt,569,11/22/2018,1,20,1/6/2019
Arapaho and Roosevelt,570,11/22/2018,1,20,1/6/2019
Arapaho and Roosevelt,571,11/22/2018,1,20,1/6/2019
Mt. Hood,572,11/22/2018,1,5,12/31/2018
Arapaho and Roosevelt,573,11/22/2018,1,20,1/6/2019
Mt. Hood,574,11/22/2018,2,10,12/31/2018
Mt. Hood,575,11/22/2018,1,5,12/31/2018
Mt. Hood,576,11/22/2018,1,5,12/31/2018
Flathead,577,11/22/2018,1,5,1/2/2019
Flathead,578,11/22/2018,2,10,1/2/2019
Mt. Hood,581,11/22/2018,1,5,12/31/2018
Mt. Hood,580,11/22/2018,1,5,12/31/2018
Mt. Hood,582,11/22/2018,1,5,12/31/2018
Mt. Hood,583,11/23/2018,1,5,12/31/2018
Flathead,584,11/23/2018,1,5,1/2/2019
Arapaho and Roosevelt,586,11/23/2018,1,20,1/6/2019
Arapaho and Roosevelt,587,11/23/2018,1,20,1/6/2019
Arapaho and Roosevelt,588,11/23/2018,1,20,1/6/2019
Arapaho and Roosevelt,589,11/23/2018,1,20,1/6/2019
Arapaho and Roosevelt,592,11/23/2018,1,20,1/6/2019
Arapaho and Roosevelt,591,11/23/2018,1,20,1/6/2019
Arapaho and Roosevelt,593,11/23/2018,1,20,1/6/2019
Arapaho and Roosevelt,596,11/23/2018,1,20,1/6/2019
Arapaho and Roosevelt,597,11/23/2018,1,20,1/6/2019
Arapaho and Roosevelt,598,11/23/2018,1,20,1/6/2019
Arapaho and Roosevelt,599,11/23/2018,1,20,1/6/2019
Arapaho and Roosevelt,600,11/23/2018,1,20,1/6/2019
Arapaho and Roosevelt,602,11/23/2018,1,20,1/6/2019
Flathead,603,11/23/2018,2,10,1/2/2019
Flathead,604,11/23/2018,1,5,1/2/2019
Flathead,605,11/23/2018,1,5,1/2/2019
Flathead,606,11/23/2018,1,5,1/2/2019
